latitude,longitude,data_hora_rodada,data_hora_previsao,valor,id_modelo_nwp
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-16T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-16T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-16T12:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-16T15:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-16T18:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-16T21:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-17T00:00:00Z,34.31,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-17T03:00:00Z,68.62,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-17T06:00:00Z,102.93,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-17T09:00:00Z,314.53,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-17T12:00:00Z,526.14,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-17T15:00:00Z,737.74,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-17T18:00:00Z,668.31,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-17T21:00:00Z,598.87,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-18T00:00:00Z,529.44,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-18T03:00:00Z,376.61,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-18T06:00:00Z,223.77,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-18T09:00:00Z,70.94,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-18T12:00:00Z,59.12,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-18T15:00:00Z,47.29,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-18T18:00:00Z,35.47,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-18T21:00:00Z,23.65,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-19T00:00:00Z,11.82,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-19T03:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-19T06:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-19T09:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-19T12:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-19T15:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-19T18:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-19T21:00:00Z,0,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-20T00:00:00Z,40.42,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-20T03:00:00Z,80.84,GFS
-12.75,-44.75,2025-05-11T00:00:00Z,2025-05-20T06:00:00Z,121.26,GFS
